htid	recordid	OCLC	LOCnum	author	imprint	datetype	startdate	enddate	textdate	place	enumcron	materialtype	subjects	genres	title	enum_start_date	enum_end_date	inferred_date	filter_status
njp.32101064485848	8920563	4532673	<blank>	Shakespeare, William,	Chiswick;Printed by C. Whittingham ; for Sherwood, Neely, and Jones ..., London;1818.	s	1818	    	1818	enk	v.3	monograph	Shakespeare, William;Bibliography;1564-1616	NotFiction;Bibliographies	The dramatic works of William Shakspeare			1818	ok
nyp.33433067301980	7911419	653295	E221.S21	Sanderson, John,	Philadelphia;R. W. Pomeroy;1820-27.	m	1820	1827	1820-1827	nyu	v. 8	monograph	Signers;United States;Declaration of Independence	Biography;NotFiction	Biography of the signers to the Declaration of independence			1820	ok
mdp.39015020112838	1348123	67313195	<blank>	Stevenson, Robert,	Edinburgh;A. Constable;1821.	m	1850	1772	1821	enk	<blank>	monograph	Scotland;Canals;Early works to 1850;Railroads	UnknownGenre	Memorial relative to opening the great valleys of Strathmore and Strathearn, by means of a railway or canal, with branches to the sea from Perth, Arbroath, Montrose, Stonehaven and Aberdeen; together with observations on interior communication in general			1821	ok
nyp.33433076086846	1910785	2608259	<blank>	Pope, Alexander,	London;Printed for R. Priestley;1822.	s	1822	    	1822	enk	v. 2	monograph	<blank>	UnknownGenre	The works of Alexander Pope;			1822	ok
inu.30000003137357	6058085	5431469	<blank>	Beckford, William,	London;W. Clarke;1823	s	1823	    	1823	enk	<blank>	monograph	<blank>	Fiction	Vathek			1823	ok
njp.32101042992469	8885813	13880326	<blank>	Shakespeare, William,	London;Printed for F.C. and J. Rivington [etc.;1823.	s	1823	    	1823	enk	v.10	monograph	<blank>	NotFiction	The plays of William Shakespeare			1823	ok
hvd.32044019171651	9719627	1914553	<blank>	Johnson, Samuel,	London;Printed for F. C. and J. Rivington;1823.	s	1823	    	1823	enk	v.7	monograph	<blank>	Mixed;ContainsBiogMaterial	The works of Samuel Johnson, LL.D			1823	ok
hvd.hxdp1t	9726124	13629045	<blank>	Prentiss, Sophia,	Printed at Keene, N.H.;1828.	s	1828	    	1828	nhu	<blank>	monograph	<blank>	NotFiction	Remains of my early friend			1828	ok
hvd.hwxnby	9724311	10465932	<blank>	Herbert, A.	London;R. Priestley;1828-1830.	m	1828	1830	1828-1830	enk	v.3	monograph	History, Ancient;Mythology	NotFiction;Bibliographies	Nimrod			1828	ok
nnc1.cu50562282	2243778	13363542	<blank>	Smellie, William,	Boston;Hilliard, Gray, Little & Wilkins;1829	s	1829	    	1829	mau	<blank>	monograph	Juvenile and popular literature;Animal behavior;Zoology	UnknownGenre	The philosophy of natural history			1829	ok
mdp.39015016757919	364374	985867	E249.U581	<blank>	Boston;N. Hale and Gray & Bowen;New York, G. & C. & H. Carvill; [etc., etc.;1829-30.	m	1829	1830	1829-1830	mau	v.1	monograph	Sources;1775-1783;Revolution, 1775-1783;United States;Foreign relations;History	NotFiction	The diplomatic correspondence of the American revolution;			1829	ok
mdp.39015020213222	1383724	686706	B1296.K5 1830	King, Peter King,	London;H. Colburn and R. Bentley;1830.	s	1830	    	1830	enk	v.2	monograph	1714-1760;Great Britain;1632-1704;Politics and government;Locke, John	NotFiction	The life of John Locke			1830	ok
hvd.32044027540780	9720567	2865424	D901.J4 1831	Roscoe, Thomas,	London;Jennings and Chaplin;1831.	s	1831	    	1831	enk	v.1	monograph	Description and travel;Jennings' landscape annual;Italy	NotFiction	The tourist in Italy			1831	ok
wu.89097345938	5833845	4102767	<blank>	Sharpe, John,	London;J. Sharpe [etc.;1833	s	1833	    	1833	enk	v.1	monograph	Great Britain;Nobility	NotFiction	Sharpe's peerage of the British Empire			1833	ok
hvd.hwe7u1	9729378	6675915	DG425.F7 1835	Forsyth, Joseph,	London;J. Murray;1835.	s	1835	    	1835	enk	<blank>	monograph	Description and travel;Art;Italy	NotFiction	Remarks on antiquities, arts, and letters, during an excursion in Italy, in the years 1802 and 1803			1835	ok
loc.ark:/13960/t85h86m28	9587763	13393888	D21.K273	Keightley, Thomas,	Philadelphia;Hogan & Thompson;1835.	s	1835	    	1835	pau	<blank>	monograph	World history	NotFiction	Lardner's outlines of universal history			1835	ok
hvd.hn37tl	9734814	332149	BV4831.H24 1835	Hale, Matthew,	Hartford;Belknap and Hamersley;1835.	s	1835	    	1835	ctu	<blank>	monograph	Meditations	NotFiction	Contemplations, moral and divine;			1835	ok
yale.39002013743977	8726391	3777539	NE2115.R4W5	Wilson, Thomas,	London;J. F. Setchel [etc.;1836.	s	1836	    	1836	enk	<blank>	monograph	1606-1669;Rembrandt Harmenszoon van Rijn	NotFiction	A descriptive catalogue of the prints of Rembrandt			1836	ok
mdp.39015023542296	1372521	4380340	PR4056.A19 1836	Baillie, Joanna,	London;Longman, Rees, Orme, Brown, Green, & Longman;1836.	s	1836	    	1836	enk	v.2	monograph	<blank>	Drama	Dramas			1836	ok
loc.ark:/13960/t7qn6rz4n	9585604	21708543	SB389.S28	Sayers, Edward.	Newark, N.J.;Pub. by the author, and sold by most seedsmen & booksellers in the Union;1837;(S.l.;A. Guest).	s	1837	    	1837	nju	<blank>	monograph	Grapes	NotFiction	A manual on the culture of the grape			1837	ok
uc2.ark:/13960/t9p26tz79	7684308	5851467	DA538.K7A2 1838	Knighton,	London;Richard Bentley;1838;(London;Printed by Samuel Bentley)	s	1838	    	1838	enk	v.1	monograph	Correspondence;Knighton, William;Great Britain;Biography;1776-1836;19th century;Sir;Politicians	Biography;NotFiction	Memoirs of Sir William Knighton, bart., G.C.H			1838	ok
nyp.33433082308408	365797	3644933	E302.6.B9B91	Burr, Aaron,	New York;Harper & brothers;1838.	s	1838	    	1838	nyu	v. 2	monograph	Europe;Description and travel	NotFiction;Autobiography	The private journal of Aaron Burr, during his residence of four years in Europe;			1838	ok
loc.ark:/13960/t6930z978	9599214	<blank>	E449.M18	Madden, Richard Robert,	Boston;W. D. Ticknor;1839.	s	1839	    	1839	mau	<blank>	monograph	Cuba;Slave-trade;United States;Flags;Slavery	NotFiction	A letter to W. E. Channing, D.D., on the subject of the abuse of the flag of the United States in the Island of Cuba, and the advantage taken of its protection in promoting the slave trade			1839	ok
nnc1.0035542713	8395874	4555385	D308.A428	Alison, Archibald,	Paris;Baudry's European library;1841-42.	s	1841	    	1841-1842	fr 	v.2	monograph	Europe;1789-1815;History	NotFiction;Bibliographies	History of Europe from the commencement of the French revolution in M.DCC.LXXXIX to the restoration of the Bourbons in M.DCCC.XV			1841	ok
hvd.32044078590163	9733339	8225988	<blank>	<blank>	Columbia, S. C.;Printed by A. S. Johnston;1841-43.	m	1841	1843	1841-1843	scu	27 S.C.L. (1841/1842) McMullan	monograph	Law reports, digests, etc;South Carolina	NotFiction	Cases at law, argued and determined in the Court of Appeals of South Carolina, from November 1840 to [May 1842], both inclusive	1841.0	1842.0	1841	ok
nyp.33433075904569	1027816	2891609	DA625.S577	Sigourney, L. H.	Boston;J. Munroe and co.;1842.	s	1842	    	1842	mau	<blank>	monograph	Great Britain;Description and travel	NotFiction	Pleasant memories of pleasant lands			1842	ok
mdp.39015069287764	1961156	603214	<blank>	Wodrow, Robert,	Edinburgh;Printed for the Wodrow society;1842-43.	m	1842	1843	1842-1843	stk	v.2	monograph	<blank>	UnknownGenre	The correspondence of the Rev. Robert Wodrow, ed. from manuscripts			1842	ok
hvd.hn1jn2	9736247	3196140	<blank>	Nichol, J. P.	New York;Dayton & Newman;1842.	s	1842	    	1842	xx 	<blank>	monograph	<blank>	NotFiction	Views of the architecture of the heavens			1842	ok
njp.32101050271046	8898181	6549665	PE1129.G3E7	Ertheiler, Moritz	Lancaster[Pa.;The author;1843.	s	1843	    	1843	pau	<blank>	monograph	English language;German language;Conversation and phrase books;German;English	NotFiction	English colloquial phrases			1843	ok
hvd.hn6k5w	9728825	15619997	<blank>	Scudder, John,	Philadelphia;American Sunday-School Union;1843.	s	1843	    	1843	pau	<blank>	monograph	Missions;India	NotFiction	Letters to Sabbath-School children on the condition of the heathen			1843	ok
pst.000000908863	8389535	4335940	<blank>	Covel, James,	New York;Published by G. Lane & P. P. Sandford for the Sunday School Union of the Methodis Episcopal Church;1843.	s	1843	    	1843	xx 	20 78-13	monograph	Dictionaries;Bible	NotFiction	A concise dictionary of the Holy Bible			1843	ok
uva.x004123816	9793225	11642088	<blank>	Bush, Annie Forbes.	London;H. Colburn;1843.	s	1843	    	1843	enk	V.2	monograph	Queen, consort of Louis-Philippe, King of the French;Marie-Amélie;1782-1866;Queens;France	NotFiction	Memoirs of the Queens of France			1843	ok
uc2.ark:/13960/t4gm8847z	7694945	10469285	<blank>	Ward, William George,	London;James Toovey;1844.	s	1844	    	1844	enk	<blank>	monograph	Controversial literature;Church of England;Anglo-Catholicism;Oxford movement	NotFiction	Selections from a work entitled, The ideal of a Christian church, &c. &c. &c			1844	ok
hvd.32044077901015	9728398	5879424	<blank>	Soule, H. B.	Utica;A. Walker;1845.	s	1845	    	1845	nyu	<blank>	monograph	Griswold, William Henry;1813-1844	Biography;NotFiction	Biography of Rev. W. H. Griswold			1845	ok
uc1.b155446	6634135	6189831	PS1094.B7P6 1847	Bennison, D. M.	Boston;For the Author;1847.	s	1847	    	1847	mau	<blank>	monograph	Bennison family	NotFiction	Poems			1847	ok
nyp.33433075884860	8687282	2185896	<blank>	Thomson, A. T.,	London;H. Colburn;1848.	s	1848	    	1848	enk	v. 1	monograph	consort of George II, King of Great Britain;Great Britain;George II, 1727-1760;d. 1742;1683-1737;Sundon, Charlotte Dyve Clayton;Caroline;Baroness;History	NotFiction	Memoirs of Viscountess Sundon			1848	ok
uc2.ark:/13960/t6vx08p75	6645645	7687107	<blank>	Brown, Samuel,	London;W.S.D. Pateman;1849.	s	1849	    	1849	enk	<blank>	monograph	Lifen insurance	NotFiction	A few thoughts on commission, divisions of profit, selection of lives, the mortality in India			1849	ok
mdp.39015014730124	1527395	9444552	<blank>	Napier, Charles James,	London;H. Colburn;1850.	s	1850	    	1850	enk	v.1	monograph	<blank>	UnknownGenre	Lights and shades of military life			1850	ok
njp.32101060068291	7673546	3142959	QH105.V7T4	Thompson, Zadock,	Burlington;C. Goodrich;1850.	s	1850	    	1850	vtu	<blank>	monograph	Natural history;Vermont	NotFiction	Natural history of Vermont			1850	ok
loc.ark:/13960/t7gq7pt1g	7646883	6216707	PS1252.C6H3	Canning, Josiah Dean,	Greenfield [Mass.;M. H. Tyler;1852.	 	1852	    	1852	mau	<blank>	monograph	<blank>	NotFiction	The harp and plow			1852	ok
mdp.39015032021969	365325	924409	E302.J464	Jefferson, Thomas,	Washington;Taylor & Maury;1853-54.	m	1853	1854	1853-1854	dcu	v.4	monograph	Sources;United States;History	NotFiction;Autobiography	The writings of Thomas Jefferson			1853	ok
nyp.33433075756274	6965736	37308669	<blank>	Tupper, Martin Farquhar,	London;A. Hall, Virtue & Co.;1853.	s	1853	    	1853	enk	<blank>	monograph	Fiction (English)	Fiction	The twins			1853	ok
mdp.39015026633555	290441	63006566	<blank>	Chambers, William,	London;Edinburgh;W. and R. Chambers;1854.	s	1854	    	1854	enk	<blank>	monograph	Description and travel;United States;Canada	NotFiction	Things as they are in America			1854	ok
nyp.33433074947072	8667842	37220660	<blank>	Cockton, Henry,	London;R. Bentley;1854.	s	1854	    	1854	enk	<blank>	monograph	English fiction	Fiction	Stanley Thorn			1854	ok
mdp.49015000061375	4387855	81016826	<blank>	<blank>	Philadelphia;Printed for the Seventy-Six Society;1855	s	1855	    	1855	enk	<blank>	monograph	United States;Personal narratives, British;History;Revolution, 1775-1783	NotFiction	The examination of Joseph Galloway, Esq., late speaker of the House of Assembly of Pennsylvania			1855	ok
njp.32101055576415	8901809	13987446	<blank>	Linwood, William,	London;Longman, Brown, Green and Longmans;1855.	s	1855	    	1855	enk	<blank>	monograph	<blank>	NotFiction	A treatise on Greek tragic metres			1855	ok
nyp.33433007913050	8596328	4926614	<blank>	Wilkes, Charles,	New York;G. P. Putnam;1856, c1844.	t	1856	1844	1856	nyu	v. 1	monograph	Description and travel;(1838-1842);Oceania;Hawaii;Discovery and exploration;United States Exploring Expedition;Oregon;South America;Antarctica	NotFiction	Narrative of the United States exploring expedition during the years 1838, 1839, 1840, 1841, 1842			1856	ok
ien.35558005333659	10600010	14829443	<blank>	Leidy, Joseph,	Philadelphia;Collins;1858.	s	1858	    	1858	pau	<blank>	monograph	<blank>	NotFiction	Valedictory address to the class of medical graduates of the University of Pennsylvania			1858	ok
uc1.b249979	6502359	5468347	<blank>	Waldack, Charles.	s.l.;s.n.;1858 (;Cincinnati;Longley Bros.)	s	1858	    	1858	xx 	<blank>	monograph	Photography;Handbooks, manuals, etc;Collodion process	NotFiction	Treatise of photography on collodion			1858	ok
uc2.ark:/13960/t78s4m942	7663773	2872524	PZ3.L193T4	La Motte-Fouqué, Friedrich Heinrich Karl,	New York;J. Miller;1862?	s	1862	    	1862	nyu	<blank>	monograph	<blank>	Fiction	Thiodolf the Icelander			1862	ok
nyp.33433075765861	8666826	31764829	<blank>	Pearson, Emily Clemens.	Boston;Charles H. Pearson;1864, c1863.	t	1864	1863	1864	mau	<blank>	monograph	African Americans;Fiction	Fiction	Ruth's sacrifice, or, Life on the Rappahannock			1864	ok
uc2.ark:/13960/t7zk5p515	7704373	396752	DK851.V22	Vámbéry, Ármin,	New York;Harper & brothers;1865.	s	1865	    	1865	nyu	<blank>	monograph	Description and travel;Asia, Central	NotFiction	Travels in central Asia;			1865	ok
loc.ark:/13960/t0qr4z23b	9559065	<blank>	E457.8.M98	Murray, William Henry Harrison,	New York;J. F. Trow, printer;1865.	s	1865	    	1865	nyu	<blank>	monograph	<blank>	NotFiction	Address delivered on the Sabbath following the assassination of President Lincoln			1865	ok
dul1.ark:/13960/t7tm8190v	10942892	10219318	JK97141864 Dec. 13e	<blank>	Richmond;1865	s	1865	    	1865	vau	<blank>	monograph	Provenance;Confederate States of America;Postal service;United States. War Dept. Record Division. Rebel Archives	NotFiction	A bill to be entitled An act for the prevention of frauds on the revenues of the Postoffice department			1865	ok
yale.39002004638921	1444734	7709365	F1032.C263	<blank>	Québec [cité;Hunter, Rose & Co., Parliamentary Printers;1865.	s	1865	    	1865	quc	<blank>	monograph	Sources;Canada;1841-1867;Politics and government;Constitutional history	NotFiction	Parliamentary debates on the subject of the Confederation of the British North American provinces, 3rd session, 8th provincial parliament of Canada			1865	ok
nnc1.50362370	8410729	3077000	<blank>	Quarry, John,	Edinburgh;Williams and Norgate;1866.	s	1866	    	1866	stk	<blank>	monograph	Genesis;O.T;Bible;Criticism, interpretation, etc	NotFiction	Genesis and its authorship			1866	ok
mdp.39015033523765	600829	66785957	<blank>	Latham, Henry,	London;MacMillan and co.;Philadelphia;J. B. Lippincott & co.;1867.	s	1867	    	1867	enk	<blank>	monograph	Description and travel;Atlantic States;Cuba	NotFiction	Black and white			1867	ok
njp.32101066125673	1366021	339222	<blank>	Giles, Henry,	Boston;Lee and Shepard;1868.	s	1868	    	1868	mau	<blank>	monograph	Shakespeare, William;Criticism and interpretation;1564-1616	UnknownGenre	Human life in Shakespeare			1868	ok
uc2.ark:/13960/t6vx08s1m	7667582	3977728	Z921.E34C3	<blank>	Edinburgh;W. Paterson;1868.	s	1868	    	1868	stk	<blank>	monograph	Natural history;Manuscripts;Great Britain;Catalogs;Bibliography	NotFiction;Bibliographies	Catalogue of the printed books and manuscripts in the library of the New College, Edinburgh			1868	ok
uva.x001302422	7666005	3764121	<blank>	Longfellow, Henry Wadsworth,	Boston;Fields, Osgood & Co.;1869.	s	1869	    	1869	mau	v.1	monograph	<blank>	NotFiction	Poems			1869	ok
uc2.ark:/13960/t80k29353	6628096	15161939	<blank>	Cave, John.	London;B.M. Pickering;1871.	s	1871	    	1871	enk	<blank>	monograph	<blank>	NotFiction	Tsoé, and other poems			1871	ok
nyp.33433066654207	372249	5358763	DD16.M95 1871	<blank>	London;J. Murray: [etc., etc.;1871.	s	1871	    	1871	enk	<blank>	monograph	Guidebooks;Austria;Germany	NotFiction	Handbook for travellers in Southern Germany			1871	ok
mdp.39015068209793	2075204	18578319	<blank>	<blank>	Baltimore, Md.;1904.	s	1904	    	1904	mdu	1873	monograph	<blank>	UnknownGenre	[Proceedings.]	1873.0		1873	ok
uiuo.ark:/13960/t4th8fj5h	8723551	6441492	<blank>	<blank>	Chicago;J.B. Bradford;1873;(Chicago;Southard & Cullaton)	s	1873	    	1873	ilu	<blank>	monograph	Guidebooks;Chicago (Ill.)	NotFiction	The Strangers' guide to the city of Chicago			1873	ok
uc1.b3142334	6109746	7046555	<blank>	Collins, W. Lucas	Edinburgh;London;W. Blackwood;1873.	s	1873	    	1873	stk	<blank>	monograph	Biography;Lucian	Biography;NotFiction	Lucian			1873	ok
nyp.33433034409882	8609507	38437742	<blank>	Broughton, Rhoda,	London;R. Bentley and Son;1873.	s	1873	    	1873	enk	<blank>	monograph	English fiction	Fiction	"""Good-bye, sweetheart!"""			1873	ok
mdp.39015030714565	1186667	41484745	PR3718.A1 1874	Suckling, John,	London;Frank & William Kerslake;1874.	s	1874	    	1874	enk	v.1	monograph	<blank>	NotFiction	The poems, plays, and other remains of Sir John Suckling			1874	ok
nyp.33433010725160	1494518	4047615	QK385.H67	Hooker, Joseph Dalton,	London;L. Reeve;1875-1897.	m	1875	1897	1875-1897	enk	v. 4	monograph	Botany;India	NotFiction	The flora of British India			1875	ok
loc.ark:/13960/t9s18f55t	9582398	<blank>	PR4308.A1 1875	Burns, Robert,	New York;K. Tompkins;1875.	s	1875	    	1875	nyu	<blank>	monograph	<blank>	NotFiction	The cotter's Saturday night			1875	ok
mdp.39015065460522	5265257	17251876	PS2419.M5	Moffat, James C.	New York;Anson D.F. Randolph & Company ...;c1875.	s	1875	    	1875	nyu	<blank>	monograph	<blank>	NotFiction	Alwyn			1875	ok
mdp.39015021066132	2018500	55566212	<blank>	Newman, John.	London;N.Y.;E. & F.N. Spon;1875.	s	1875	    	1875	enk	<blank>	monograph	<blank>	UnknownGenre	Iron cylinder bridge piers			1875	ok
mdp.39015063815636	152604	4066256	DA625.R687	Rodenberg, Julius,	London;R. Bentley & son;1875.	s	1875	    	1875	enk	<blank>	monograph	Description and travel;England	NotFiction	England, literary and social, from a German point of view			1875	ok
uc2.ark:/13960/t79s1pd2f	7666830	12064154	<blank>	<blank>	Liverpool;Maples;1876.	s	1876	    	1876	enk	<blank>	monograph	Library catalogs	NotFiction;Catalog	Catalogue of Mayer Free Library, Bebington			1876	for-content
uc2.ark:/13960/t9668fp8f	7693285	13377557	<blank>	Tytler, Sarah,	London;Smith, Elder;1876.	s	1876	    	1876	enk	v.3	monograph	<blank>	NotFiction	By the Elbe			1876	ok
yale.39002004720018	7700386	4108185	DA480.L447	Lecky, William Edward Hartpole,	New York;D. Appleton;1878-1890.	m	1878	1890	1878-1890	nyu	v.5	monograph	Great Britain;18th century;History	NotFiction	A history of England in the eighteenth century			1878	ok
wu.89054394929	5717285	22368464	<blank>	Sweetser, M. F.	Boston;Houghton, Osgood;Cambridge [Mass.;Riverside Press;1879, c1877-1878.	c	1879	1877	1879	mau	v. 7	monograph	Biography;Artists	Biography;NotFiction	Artist-biographies			1879	ok
nyp.33433081858585	1922707	3908064	<blank>	<blank>	Oxford;Clarendon Press;1879-1910.	m	1879	1910	1879-1910	enk	v. 3 (2 Set)	monograph	Islam;Sacred books	UnknownGenre	The sacred books of the East			1879	ok
wu.89094581428	1391842	11493923	BL200.B65 1879	Bowne, Borden Parker,	New York;Phillips & Hunt;Cincinnati;Hitchcock & Walden;1879.	s	1879	    	1879	nyu	<blank>	monograph	Theism	NotFiction	Studies in theism			1879	ok
uc1.$b809244	7939039	172213	<blank>	Holmes, Mary Jane,	New York;G.W. Carleton;1881	s	1881	    	1881	nyu	<blank>	monograph	<blank>	Fiction	Madeline			1881	ok
mdp.39015062200426	1732326	67881895	<blank>	[Pettes, George William]	Boston;J.R. Osgood and company;1881.	s	1881	    	1881	mau	<blank>	monograph	Whist	UnknownGenre	American or standard whist			1881	ok
mdp.39015036866047	336602	317864	E468.C17	Cox, Jacob D.	New York;C. Scribner's sons;1882.	s	1882	    	1882	nyu	v.10	monograph	Nashville, Battle of, Nashville, Tenn., 1864;United States;Franklin, Battle of, Franklin, Tenn., 1864;Civil War, 1861-1865;History	NotFiction	The march to the sea;			1882	ok
loc.ark:/13960/t73v0299g	9605019	<blank>	TS967.C97	<blank>	Boston;Cutler, Hall & Borchers;1883	s	1883	    	1883	mau	<blank>	monograph	Tanning. [from old catalog]	NotFiction	Unhairing hides by sulphide of sodium			1883	ok
uva.x030825722	9777183	5993567	BL2775.G775 1877	Greg, William R.	London;Trubner & co.;1883	s	1877	    	1883	enk	v.1	monograph	Free thought	NotFiction	The creed of Christendom			1883	ok
mdp.39015063590064	1988248	39501162	<blank>	Stuart, James,	London;Brighton, Society for promoting Christian knowledge;New York;E. & J.B. Young and co.;1883	s	1883	    	1883	enk	<blank>	monograph	Science;Astronomy	UnknownGenre	A chapter of science;			1883	ok
uc2.ark:/13960/t3028rn1f	7646405	352654498	PR4007.A47S6	Anderson, John,	Edinburgh;J. Menzies & co.; Perth, J. Christie;1884.	 	1884	    	1884	stk	<blank>	monograph	Description and travel;Fishing;Scotland	NotFiction	Sprigs of heather;			1884	ok
mdp.39015034358641	478600	274487	<blank>	Howells, William Dean,	Boston;J. R. Osgood and company;1884.	s	1884	    	1884	mau	<blank>	monograph	<blank>	Fiction	A woman's reason			1884	ok
mdp.39015071685353	3938008	5915203	QM551.S89	Stowell, C. H.	Ann Arbor, Mich.;C. H. Stowell;1884.	s	1884	    	1884	miu	c.1	monograph	Histology	NotFiction	The students' manual of histology, for the use of students, practitioners and microscopists			1884	ok
